Date,Price,Open,High,Low,Vol,Change
1/24/2014,1264.4,1264.2,1272.4,1257.5,0.64K,0.0017
1/23/2014,1262.3,1235.3,1265,1231.5,0.43K,0.0192
1/22/2014,1238.5,1241.8,1243.2,1235.8,0.09K,-0.0027
1/21/2014,1241.8,1259,1259,1235.4,0.56K,0
1/20/2014,1241.8,1252.5,1262,1235.1,174.69K,-0.0082
1/17/2014,1252.1,1242.5,1253.7,1238.5,0.10K,0.0094
1/16/2014,1240.4,1239.5,1243.7,1236.8,0.16K,0.0015
1/15/2014,1238.6,1241.4,1241.8,1236,0.04K,-0.0058
1/14/2014,1245.8,1252.5,1254.4,1241.8,0.07K,-0.0046
1/13/2014,1251.5,1248.8,1254.8,1244.7,0.22K,0.0034
1/10/2014,1247.3,1229.7,1247.5,1229.7,0.21K,0.0143
1/9/2014,1229.7,1227.1,1231,1225,0.07K,0.0032
1/8/2014,1225.8,1229.3,1230.5,1219.1,0.24K,-0.0033
1/7/2014,1229.9,1241.3,1242,1224.6,0.03K,-0.0068
1/6/2014,1238.3,1237.4,1244.4,1234.1,0.02K,-0.0006
1/3/2014,1239,1223.6,1239.5,1223.6,0.05K,0.011
1/2/2014,1225.5,1212.1,1229,1212.1,0.04K,0.019
12/31/2013,1202.6,1186.6,1211.6,1186.6,0.01K,-0.0012
12/30/2013,1204.1,1204.1,1204.1,1204.1,79.94K,-0.0082
12/27/2013,1214,1210.9,1218.9,1208.5,83.76K,0.0014
12/26/2013,1212.3,1203.8,1215.4,1200.5,54.65K,0.0075
12/24/2013,1203.3,1197.8,1205.1,1195.5,43.49K,0.0053
12/23/2013,1197,1202.5,1205.6,1191.8,84.98K,-0.0056
12/20/2013,1203.7,1188.8,1206.9,1188,138.71K,0.0085
12/19/2013,1193.6,1217.8,1226,1186,206.50K,-0.0335
12/18/2013,1235,1230.3,1244,1215.2,160.63K,0.004
12/17/2013,1230.1,1239.5,1247.6,1226.5,134.93K,-0.0115
12/16/2013,1244.4,1237.3,1251.7,1227.2,121.81K,0.0079
12/13/2013,1234.6,1226.1,1238.2,1219.5,113.54K,0.0079
12/12/2013,1224.9,1252.3,1256.5,1222.6,153.61K,-0.0257
12/11/2013,1257.2,1261,1263.2,1250.6,120.45K,-0.0031
12/10/2013,1261.1,1239.5,1267.5,1237.4,148.58K,0.0218
12/9/2013,1234.2,1229.9,1242.6,1224.6,77.73K,0.0042
12/6/2013,1229,1225,1245,1210.1,174.95K,-0.0024
12/5/2013,1231.9,1243.1,1243.2,1216.3,154.23K,-0.0123
12/4/2013,1247.2,1223,1251.5,1210.8,182.24K,0.0216
12/3/2013,1220.8,1219.5,1225.8,1214.6,118.42K,-0.0009
12/2/2013,1221.9,1250.6,1251.2,1217.1,146.10K,-0.0228
11/29/2013,1250.4,1237.9,1254.5,1234.1,113.09K,0
11/28/2013,1250.4,1237.9,1254.5,1234.1,113.09K,0.0101
11/27/2013,1237.9,1241.1,1254.8,1235.5,154.82K,-0.0028
11/26/2013,1241.4,1254.8,1255.8,1239.5,0.84K,0
11/25/2013,1241.4,1241.5,1252.3,1228.4,0.53K,-0.0023
11/22/2013,1244.3,1245.3,1248.4,1241.3,0.19K,0.0003
11/21/2013,1243.9,1246.5,1248.6,1236.8,0.20K,-0.0115
11/20/2013,1258.4,1273.9,1273.9,1240.9,0.11K,-0.0122
11/19/2013,1273.9,1275,1276.7,1271.3,0.03K,0.0009
11/18/2013,1272.7,1287.1,1288.3,1273,0.04K,-0.0117
11/15/2013,1287.8,1287.5,1290.2,1282.7,0.04K,0.0008
11/14/2013,1286.8,1284,1293.8,1278.9,0.06K,0.0141
11/13/2013,1268.9,1269.2,1276.1,1268.2,0.02K,-0.0022
11/12/2013,1271.7,1281,1284.3,1261.8,0.10K,-0.0077
11/11/2013,1281.6,1287,1288,1281.8,0.01K,-0.0027
11/8/2013,1285.1,1307.7,1309.5,1282,0.05K,-0.0182
11/7/2013,1308.9,1319.2,1325.5,1298.1,0.08K,-0.0071
11/6/2013,1318.2,1313.8,1320.9,1313.8,0.02K,0.0074
11/5/2013,1308.5,1316.5,1316.5,1308.6,0.03K,-0.005
11/4/2013,1315.1,1313.6,1315.6,1313.6,0.00K,0.0011
11/1/2013,1313.6,1325,1325,1317.2,0.00K,-0.0079
10/31/2013,1324.1,1332.9,1332.9,1323.3,0.01K,-0.019
10/30/2013,1349.7,1349.7,1349.7,1349.7,156.60K,0.0031
10/29/2013,1345.5,1352.6,1360.4,1339.8,127.17K,-0.005
10/28/2013,1352.2,1352.7,1361.8,1346.1,118.92K,-0.0002
10/25/2013,1352.5,1346.9,1356.4,1335.3,120.21K,0.0016
10/24/2013,1350.3,1332.5,1352.3,1330.2,138.23K,0.0122
10/23/2013,1334,1340.1,1342.2,1328.5,99.06K,-0.0064
10/22/2013,1342.6,1315.5,1344.7,1309.5,159.79K,0.0204
10/21/2013,1315.8,1316,1323.9,1312,74.39K,0.0009
10/18/2013,1314.6,1318.8,1328.9,1311.2,104.10K,-0.0063
10/17/2013,1323,1281.4,1324.2,1273.7,216.15K,0.0317
10/16/2013,1282.3,1281.4,1289.2,1268.6,165.64K,0.0071
10/15/2013,1273.2,1273.6,1287.7,1251,204.03K,-0.0027
10/14/2013,1276.6,1275.5,1291.6,1268.4,110.18K,0.0066
10/11/2013,1268.2,1286.4,1294.8,1259.6,186.26K,-0.0221
10/10/2013,1296.9,1307,1312,1281,141.17K,-0.0079
10/9/2013,1307.2,1319.6,1323.3,1294.6,158.40K,-0.0131
10/8/2013,1324.6,1323,1330.8,1315.4,123.18K,-0.0004
10/7/2013,1325.1,1312.3,1329.5,1307.9,95.95K,0.0116
10/4/2013,1309.9,1317.4,1326,1305.1,107.57K,-0.0058
10/3/2013,1317.6,1316.5,1322.8,1302,129.12K,-0.0023
10/2/2013,1320.7,1287.5,1324.2,1276.9,176.12K,0.0269
10/1/2013,1286.1,1328.2,1337.8,1282.4,212.83K,-0.0308
9/30/2013,1327,1343.5,1353.8,1322,119.08K,-0.0091
9/27/2013,1339.2,1323.7,1345.2,1320,133.97K,0.0116
9/26/2013,1323.8,1334,1338.6,1319.4,0.17K,-0.0091
9/25/2013,1336,1325.3,1337.7,1318.5,0.20K,0.0151
9/24/2013,1316.1,1326.2,1327.8,1309.8,0.20K,-0.0082
